Column1,Column2,Column3
Title,URL,Author
Nghi ph?m t?n công tr? s? u? ban xã khai '???c ch? ??o x? súng',https://vnexpress.net/nghi-pham-tan-cong-tru-so-uy-ban-xa-khai-duoc-chi-dao-xa-sung-4617148.html,"??k L?kY Chanh Niê, nghi ph?m tham gia t?n công hai tr? s? ?y ban xã Ea Tiêu và Ea Ktur khai ???c ông ch? h?a h?n s? có cu?c s?ng giàu sang, ???c d?n ""c? th?y ng??i là gi?t, x? súng""."
Cái b?y ?i?n n?ng,https://vnexpress.net/cai-bay-dien-nang-4617085.html,"Vi?t Nam dùng nhi?u ?i?n g?p ?ôi, th?m chí g?p b?n l?n qu?c gia khác ?? làm ra m?t USD cho GDP."
B?u ?i?n h?n 130 tu?i ? Sài Gòn,https://vnexpress.net/buu-dien-hon-130-tuoi-o-sai-gon-4617139.html,B?u ?i?n TP HCM n?m trong top 11 b?u ?i?n ??p nh?t th? gi?i nh? l?u gi? phong cách ki?n trúc n?i b?t c?a ph??ng Tây qua h?n 130 n?m.
Tàu h?a tr?t bánh ? Bình Thu?n,https://vnexpress.net/tau-hoa-trat-banh-o-binh-thuan-4617251.html,"?oàn tàu SE2 ch? 339 hành khách ch?y t? TP HCM ra Hà N?i b? tr?t bánh khi qua huy?n Hàm Thu?n Nam, khi?n ???ng s?t tê li?t h?n 5 gi?, sáng 14/6."
D?n d?p tr? s? ?y ban xã sau v? t?n công,https://vnexpress.net/don-dep-tru-so-uy-ban-xa-sau-vu-tan-cong-4617328.html,"??k L?kBa ngày sau v? t?n công, l?c l??ng ch?c n?ng d?n d?p các v?t d?ng b? nhóm ng??i ??p phá, ??t cháy t?i tr? s? ?y ban xã Ea Tiêu, huy?n C? Kuin."
"Ông Putin: Xe t?ng, thi?t giáp ph??ng Tây 'cháy ???m'",https://vnexpress.net/ong-putin-xe-tang-thiet-giap-phuong-tay-chay-duom-4617285.html,"Ông Putin cho r?ng xe t?ng Leopard do ??c s?n xu?t và thi?t giáp Bradley c?a M? ""cháy r?t ???m"" khi b? l?c l??ng Nga phá h?y ? Ukraine."
Giá cà phê t?ng k? l?c,https://vnexpress.net/gia-ca-phe-tang-ky-luc-4616906.html,"Giá cà phê leo thang nhi?u tháng qua, hi?n lo?i nhân xô t?ng h?n 70% so v?i ??u n?m và t?ng 50% so v?i cùng k? n?m ngoái."
PSG ra giá bán Mbappe,https://vnexpress.net/psg-ra-gia-ban-mbappe-4617349.html,"Nhà vô ??ch Ligue 1 có th? s? ch?p nh?n bán Kylian Mbappe v?i 160 tri?u USD, thay vì nguy c? m?t tr?ng anh vào hè 2024."
'Ng?c n?' Nh?t B?n xin l?i vì ngo?i tình,https://vnexpress.net/ngoc-nu-nhat-ban-xin-loi-vi-ngoai-tinh-4617316.html,"Di?n viên Ryoko Hirosue, ???c m?nh danh ""ng?c n?"" showbiz Nh?t, xin l?i vì ngo?i tình, ng?ng ho?t ??ng gi?i trí."
,,
???ng ven bi?n 1.000 t? ??ng tr? h?n vì v??ng m? titan,https://vnexpress.net/duong-ven-bien-1-000-ty-dong-tre-hen-vi-vuong-mo-titan-4616948.html,"Bình Thu?nD? án ???ng 719B n?i Phan Thi?t – Kê Gà dài h?n 25 km ph?i d?ng thi công do v??ng m? titan, không th? giao m?t b?ng cho nhà th?u."
Các c? U90 'nghi?n' ??p xe,https://vnexpress.net/cac-cu-u90-nghien-dap-xe-4616703.html,"Hà N?iSau khi kh?i ??ng, c? Ph?m Bá ??ng (82 tu?i) lên xe ??p t? nhà ? Long Biên sang Tây H? và nh?p ?oàn cùng các b?n già ch?y d?c ???ng Võ Nguyên Giáp - N?i Bài."
Nhi?u công ty c?t du l?ch hè,https://vnexpress.net/nhieu-cong-ty-cat-du-lich-he-4616620.html,"Nhi?u ??n v? l? hành xác nh?n các ?oàn khách l?n nh? công ty, doanh nghi?p th?t ch?t chi phí du l?ch hè cho nhân viên."
L?m phát M? h? nhi?t làm t?ng kh? n?ng Fed ng?ng nâng lãi,https://vnexpress.net/lam-phat-my-ha-nhiet-lam-tang-kha-nang-fed-ngung-nang-lai-4617294.html,"L?m phát M? tháng tr??c th?p nh?t h?n 2 n?m, c?ng c? kh? n?ng Fed b? qua vi?c nâng lãi trong phiên h?p chính sách tu?n này."
"L?t thuy?n ?ám c??i trong ?êm, h?n 100 ng??i ch?t ?u?i",https://vnexpress.net/lat-thuyen-dam-cuoi-trong-dem-hon-100-nguoi-chet-duoi-4617224.html,"NigeriaM?t chi?c thuy?n ch? khách quay v? t? ?ám c??i b? l?t úp trên sông ? bang Kwara, khi?n 103 ng??i thi?t m?ng."
Messi tuyên b? không d? World Cup 2026,https://vnexpress.net/messi-tuyen-bo-khong-du-world-cup-2026-4617210.html,Trung Qu?c??i tr??ng tuy?n Argentina xem World Cup 2022 là k? ??i h?i th? gi?i cu?i cùng trong s? nghi?p.
Dianka Zakhidova: '??i tôi may m?n khi c??i Bùi Ti?n D?ng',https://vnexpress.net/dianka-zakhidova-doi-toi-may-man-khi-cuoi-bui-tien-dung-4616541.html,"Ng??i m?u Ukraine Dianka Zakhidova nói h?nh phúc khi làm v? th? môn Bùi Ti?n D?ng, ???c ch?ng ?ng h? m?i vi?c."
NATO hy v?ng cu?c ph?n công c?a Ukraine d?n t?i ?àm phán,https://vnexpress.net/nato-hy-vong-cuoc-phan-cong-cua-ukraine-dan-toi-dam-phan-4617201.html,"T?ng th? ký NATO nói cu?c ph?n công c?a Ukraine ?ang có b??c ti?n trên chi?n tr??ng, hy v?ng ??ng thái này có th? thúc ??y ?àm phán hòa bình."
Kênh ?ào Panama ??i m?t v?i h?n hán ch?a t?ng có,https://vnexpress.net/kenh-dao-panama-doi-mat-voi-han-han-chua-tung-co-4617220.html,"M?c n??c h? Gatun, m?t trong nh?ng h? c?p n??c cho âu tàu c?a kênh ?ào Panama, ?ang gi?m và d? ki?n xu?ng m?c th?p l?ch s? vào tháng 7."
Ông Trump ???c áp d?ng quy trình ??c bi?t khi trình di?n tòa,https://vnexpress.net/ong-trump-duoc-ap-dung-quy-trinh-dac-biet-khi-trinh-dien-toa-4617234.html,"Lu?t s? c?a Trump cho bi?t do có v? th? ??c bi?t, c?u t?ng th?ng không ph?i ch?p ?nh l?u h? s? khi trình di?n tòa án liên bang ? Florida."
Nhi?u ng??i b? ph?t vì bình lu?n xuyên t?c v? t?n công tr? s? xã ? ??k L?k,https://vnexpress.net/nhieu-nguoi-bi-phat-vi-binh-luan-xuyen-tac-vu-tan-cong-tru-so-xa-o-dak-lak-4617142.html,"Ng??i ?àn ông 33 tu?i ? Nha Trang và 3 ng??i ? Hà T?nh cùng b? ph?t m?i tr??ng h?p 7,5 tri?u ??ng vì bình lu?n trên m?ng xã h?i sai s? th?t v? v? t?n công tr? s? công an xã ? ??k L?k."
Mi?n B?c m?a dài ngày,https://vnexpress.net/mien-bac-mua-dai-ngay-4617140.html,"M?a giông t? nay ??n ngày 17/6 khi?n m?c n??c sông su?i, h? th?y ?i?n ? mi?n B?c t?ng tr? l?i, c?i thi?n ph?n nào tình tr?ng khô h?n th?i gian qua."
Chi tr?m tri?u cho con h?c tr?i hè,https://vnexpress.net/chi-tram-trieu-cho-con-hoc-trai-he-4617170.html,"Thu nh?p kho?ng 20 tri?u, Ánh Nguy?t, 34 tu?i, v?n quy?t chi g?n 100 tri?u cho con ?i tr?i hè qu?c t? nh? b??c chu?n b? cho m?c tiêu du h?c sau này."
Nga cân nh?c rút kh?i th?a thu?n ng? c?c,https://vnexpress.net/nga-can-nhac-rut-khoi-thoa-thuan-ngu-coc-4617195.html,"T?ng th?ng Putin cho bi?t Nga ?ang xem xét rút kh?i th?a thu?n ng? c?c ? Bi?n ?en, cáo bu?c ph??ng Tây ?ã l?a d?i Moskva."
Cô giáo Lê Th? Dung ???c gi?m án,https://vnexpress.net/co-giao-le-thi-dung-duoc-giam-an-4616961.html,"Ngh? AnH?XX gi?m án còn 15 tháng tù v?i b? cáo Lê Th? Dung, 51 tu?i, c?u Giám ??c Trung tâm Giáo d?c th??ng xuyên huy?n H?ng Nguyên, vì xét th?y án s? th?m 5 n?m tù quá nghiêm kh?c."
"'?i?m chu?n l?p 10 Hà N?i có th? t?ng 1-1,25'",https://vnexpress.net/diem-chuan-lop-10-ha-noi-co-the-tang-1-1-25-4617067.html,"Nh?n ??nh ?i?m ph? bi?n c?a h?c sinh ? m?i môn V?n, Toán, Ti?ng Anh là 7,5, các nhà giáo d? ?oán ?i?m chu?n vào l?p 10 ? Hà N?i t?ng nh?, kho?ng 1-1,25 ?i?m so v?i n?m ngoái."
